,actively_hiring,Type_of_internship,company_name,location,stipend,duration
121,1.0,Copywriting,ODN Digital Services Private Limited,Delhi,"₹ 10,000 /month",3 Months
122,1.0,Content Writing,Veave Technologies Private Limited,Bangalore,"₹ 5,000 /month",3 Months
123,1.0,Python Backend Engineer (Django) (For 2023  Graduates Only),Primenumbers Technologies,Work From Home,"₹ 20,000 /month",6 Months
124,1.0,Business Development,EkoSight Technologies Private Limited,Delhi,"₹ 20,000-25,000 /month",6 Months
125,1.0,Client Relationship Management,Firscousre,Hyderabad,"₹ 7,500 /month",3 Months
126,1.0,Java Development & Training,Digi Grow Hub Education,Pune,"₹ 2,000 /month",2 Months
127,1.0,Social Media Marketing,PLY POINT,Pune,"₹ 9,000-14,000 /month",6 Months
128,1.0,Finance,B B Advisory,Bangalore,"₹ 2,000-8,000 /month",2 Months
129,1.0,Investment Analysis (Capital Market),B B Advisory,Bangalore,"₹ 2,000-8,000 /month",2 Months
130,1.0,Legal Intern,Aam Aadmi Party,Delhi,Unpaid,3 Months
131,1.0,Multi-Dimensional Social Impact,NayePankh Foundation,Work From Home,Unpaid,4 Weeks
132,1.0,Integrated Social Sector Experience,NayePankh Foundation,Work From Home,Unpaid,4 Weeks
133,1.0,Dynamic Social Sector Learning,NayePankh Foundation,Work From Home,Unpaid,4 Weeks
134,1.0,Non-Profit Sector Exploration,NayePankh Foundation,Work From Home,Unpaid,4 Weeks
135,1.0,Comprehensive Social Work Exploration,NayePankh Foundation,Work From Home,Unpaid,4 Weeks
136,1.0,AWS Cloud Management (Software Engineering),NatWest Group,Chennai,"₹ 45,000 /month",6 Months
137,1.0,Unreal Engine Development,NMS Games Private Limited,Work From Home,"₹ 5,000 /month",6 Months
138,1.0,E-catalog Listing,Techjockey,Delhi,"₹ 8,000-10,000 /month",2 Months
139,1.0,Summer Internship (Fundraising Manager),Rampur Educational & Welfare Trust,Work From Home,"₹ 2,000-5,000 /month",4 Weeks
140,1.0,Fundraising Operations,Rampur Educational & Welfare Trust,Work From Home,"₹ 1,000-5,000 /month",4 Weeks
141,1.0,Mechanical Engineering,Wikasta Business And Technical Solutions Private Limited,Work From Home,"₹ 2,000 /month",1 Month
142,1.0,Virtual Charity Drive,Rampur Educational & Welfare Trust,Work From Home,"₹ 5,000-10,000 lump sum",1 Month
143,1.0,Fundraising,InAmigos Foundation,Work From Home,"₹ 1,000-4,000 /week",3 Weeks
144,1.0,Social Work,Umeed - A Drop Of Hope,Work From Home,Unpaid,1 Month
145,1.0,Sales & Marketing,Engineer's Cradle,Work From Home,"₹ 2,500 /month",6 Months
146,1.0,Video Making/Editing,Ravikant Kumar,Gaya,"₹ 10,000-15,000 /month",3 Months
147,1.0,Lifestyle Accessory Design,Everstylish Lifestyle Private Limited,Gurgaon,"₹ 15,000 /month",3 Months
148,1.0,Share Analysis (Trader),TheCoinRepublic,Bhopal,"₹ 8,000-15,000 /month",3 Months
149,1.0,Technical Writing,TheCoinRepublic,Bhopal,"₹ 8,000-15,000 /month",6 Months
150,,Content Writing,DroidCrunch,Kanpur,"₹ 8,000-12,000 /month",6 Months
151,1.0,Volunteering,Kshitiksha Foundation,Work From Home,Unpaid,1 Month
152,1.0,Market Research,TheCoinRepublic,Bhopal,"₹ 8,000-15,000 /month",6 Months
153,1.0,Equity Analysis,TheCoinRepublic,Bhopal,"₹ 8,000-15,000 /month",3 Months
154,,Finance & Accounting,Muskan  Verma,Work From Home,"₹ 2,000 /month",2 Months
155,1.0,Research Analysis,TheCoinRepublic,Bhopal,"₹ 8,000-15,000 /month",3 Months
156,,Graphic Design,Mohit International,Jaipur,"₹ 1,000 /month +  Incentives",3 Months
157,,Business Analytics & Optimization,Tercept Incorporation,Bangalore,"₹ 25,000 /month",4 Months
158,,Human Resources (HR),College Dunia,Gurgaon,"₹ 5,500 /month",2 Months
159,1.0,Copywriting,Pawzz,Gurgaon,"₹ 10,000 lump sum",2 Months
160,,Data Entry,Experts Global Intellectual Services,Work From Home,"₹ 12,000 /month",1 Month
161,,Accounting & Tally,Sketch Art,Mumbai,"₹ 7,000-9,000 /month",2 Months
162,,Web Development (Shopify),The Brand Palette,Chandigarh,"₹ 10,000-12,000 /month",6 Months
163,,Social Media Marketing,Veecorp Solutions Private Limited,Mumbai,"₹ 7,000 /month",3 Months
164,,Business Development (Sales),TRIKL,Bangalore,"₹ 5,000-15,000 /month",2 Months
165,,Backend Development,Techstile,Surat,"₹ 12,000 /month",4 Months
166,,Graphic Design,United-Well Being Foundation,Work From Home,Unpaid,6 Months
167,,Graphic Design,Shivang Exports,Jodhpur,"₹ 10,000 /month",3 Months
168,,Social Media Marketing,Siddhant Seth,Work From Home,"₹ 5,000 /month +  Incentives",2 Months
169,,UI/UX Design,Applore Technologies,Noida,"₹ 10,000 /month",3 Months
170,,Corporate Sales,Brand Era,Jaipur,"₹ 2,500 /month +  Incentives",6 Weeks
171,,Digital Marketing,My3dMeta,Bangalore,"₹ 2,000 /month",3 Months
172,,Administration Management,A.K.Legal & Associates,Pune,"₹ 15,000-18,000 /month",3 Months
173,,Social Media Marketing,The Fabric Factory,Mumbai,"₹ 7,000 /month",6 Months
174,,Corporate Relations,Ethnus Consultancy Services Private Limited,Pune,"₹ 9,000 /month",3 Months
175,,Web Development,InsightCrew,Chandigarh,"₹ 6,000 /month",6 Months
176,,Video Making/Editing,Nacheez Edits,Work From Home,"₹ 2,000 /month +  Incentives",2 Months
